filename,node-id,location,run-idx,datetime-min,datetime-max,delta,rate,mode
node-80_run-0_delta-20.wav,80,eglin,0,2023-03-16 13:35:45.100,2023-03-16 13:35:50.700,20,9866,acoustic
node-81_run-0_delta-20.wav,81,eglin,0,2023-03-16 13:35:45.100,2023-03-16 13:35:50.700,20,9866,acoustic
node-80_run-1_delta-20.wav,80,eglin,1,2023-03-16 13:50:17.500,2023-03-16 13:50:23.400,20,9866,acoustic
node-81_run-1_delta-20.wav,81,eglin,1,2023-03-16 13:50:17.400,2023-03-16 13:50:23.400,20,9866,acoustic
node-81_run-2_delta-20.wav,81,cochise,2,2023-04-10 20:29:27.000,2023-04-10 20:29:34.600,20,9866,acoustic
node-121_run-2_delta-20.wav,121,cochise,2,2023-04-10 20:30:24.800,2023-04-10 20:30:31.400,20,9866,acoustic
node-81_run-3_delta-20.wav,81,cochise,3,2023-04-10 20:34:38.200,2023-04-10 20:34:43.400,20,9866,acoustic
node-121_run-3_delta-20.wav,121,cochise,3,2023-04-10 20:33:54.000,2023-04-10 20:34:00.000,20,9866,acoustic
node-81_run-4_delta-20.wav,81,cochise,4,2023-04-10 20:38:21.600,2023-04-10 20:38:27.400,20,9866,acoustic
node-121_run-4_delta-20.wav,121,cochise,4,2023-04-10 20:39:03.000,2023-04-10 20:39:08.400,20,9866,acoustic
node-81_run-5_delta-20.wav,81,cochise,5,2023-04-10 20:42:37.000,2023-04-10 20:42:43.000,20,9866,acoustic
node-121_run-5_delta-20.wav,121,cochise,5,2023-04-10 20:41:52.600,2023-04-10 20:41:58.600,20,9866,acoustic
node-81_run-6_delta-20.wav,81,cochise,6,2023-04-10 20:44:22.800,2023-04-10 20:44:30.000,20,9866,acoustic
node-121_run-6_delta-20.wav,121,cochise,6,2023-04-10 20:45:16.400,2023-04-10 20:45:22.600,20,9866,acoustic
node-81_run-7_delta-20.wav,81,cochise,7,2023-04-10 21:05:45.600,2023-04-10 21:05:50.600,20,9866,acoustic
node-121_run-7_delta-20.wav,121,cochise,7,2023-04-10 21:05:00.400,2023-04-10 21:05:06.400,20,9866,acoustic
node-121_run-8_delta-20.wav,121,cochise,8,2023-04-11 16:56:39.800,2023-04-11 16:56:43.400,20,9866,acoustic
node-81_run-9_delta-20.wav,81,cochise,9,2023-04-11 16:59:18.200,2023-04-11 16:59:22.600,20,9866,acoustic
node-121_run-9_delta-20.wav,121,cochise,9,2023-04-11 16:59:53.000,2023-04-11 16:59:56.400,20,9866,acoustic
node-121_run-10_delta-20.wav,121,cochise,10,2023-04-11 17:03:44.800,2023-04-11 17:03:49.200,20,9866,acoustic
node-81_run-11_delta-20.wav,81,cochise,11,2023-04-11 17:06:24.600,2023-04-11 17:06:28.800,20,9866,acoustic
node-121_run-11_delta-20.wav,121,cochise,11,2023-04-11 17:06:58.200,2023-04-11 17:07:00.000,20,9866,acoustic
node-81_run-12_delta-20.wav,81,cochise,12,2023-04-11 17:44:20.600,2023-04-11 17:44:24.000,20,9866,acoustic
node-121_run-12_delta-20.wav,121,cochise,12,2023-04-11 17:44:47.800,2023-04-11 17:44:50.800,20,9866,acoustic
node-121_run-13_delta-20.wav,121,cochise,13,2023-04-11 17:46:46.800,2023-04-11 17:46:50.000,20,9866,acoustic
node-81_run-14_delta-20.wav,81,cochise,14,2023-04-11 18:16:14.000,2023-04-11 18:16:16.600,20,9866,acoustic
node-121_run-14_delta-20.wav,121,cochise,14,2023-04-11 18:16:34.400,2023-04-11 18:16:36.400,20,9866,acoustic
node-81_run-15_delta-20.wav,81,cochise,15,2023-04-11 18:18:52.000,2023-04-11 18:18:54.600,20,9866,acoustic
node-121_run-15_delta-20.wav,121,cochise,15,2023-04-11 18:18:29.800,2023-04-11 18:18:32.400,20,9866,acoustic
node-123_run-16_delta-20.wav,123,bprf,16,2023-04-10 15:35:28.800,2023-04-10 15:35:31.000,20,9867,acoustic
node-131_run-16_delta-20.wav,131,bprf,16,2023-04-10 15:35:17.000,2023-04-10 15:35:21.400,20,9867,acoustic
node-123_run-17_delta-20.wav,123,bprf,17,2023-04-10 15:37:32.000,2023-04-10 15:37:34.800,20,9867,acoustic
node-131_run-17_delta-20.wav,131,bprf,17,2023-04-10 15:37:42.400,2023-04-10 15:37:47.000,20,9867,acoustic
node-123_run-18_delta-20.wav,123,bprf,18,2023-04-10 18:30:55.200,2023-04-10 18:30:58.000,20,9867,acoustic
node-131_run-18_delta-20.wav,131,bprf,18,2023-04-10 18:30:41.400,2023-04-10 18:30:46.600,20,9867,acoustic
node-123_run-19_delta-20.wav,123,bprf,19,2023-04-10 18:33:04.000,2023-04-10 18:33:06.400,20,9867,acoustic
node-131_run-19_delta-20.wav,131,bprf,19,2023-04-10 18:33:15.000,2023-04-10 18:33:19.800,20,9867,acoustic
node-123_run-20_delta-20.wav,123,bprf,20,2023-04-10 18:34:54.800,2023-04-10 18:34:56.000,20,9867,acoustic
node-131_run-20_delta-20.wav,131,bprf,20,2023-04-10 18:34:46.800,2023-04-10 18:34:49.800,20,9867,acoustic
